Outcome category,Outcome detail,Cost / saving detail,Unit,Agency bearing the cost / making the fiscal saving 1,Agency bearing the cost / making the fiscal saving 2,Fiscal value,Economic value,Social value,Original source
HEALTH,WORKPLACE,Work-related ill-health - average cost of absence from the workplace for 7 days or more due to work-related ill health,Per incident,Multiple,NHS,10204.72793,11321.7791,24668.21346,"Costs to Britain of workplace fatalities and self reported injuries and ill health, 2018/19 (Health and Safety Executive, 2020)"
HEALTH,WORKPLACE,Work-related ill-health - average cost of absence from the workplace for up to 6 days due to work-related ill health,Per incident,Multiple,NHS,459.620015,261.8088693,372.3503919,"Costs to Britain of workplace fatalities and self reported injuries and ill health, 2018/19 (Health and Safety Executive, 2020)"
HOUSING,EVICTION,Average fiscal cost of a complex eviction,Per incident,Local authority,RSL,8885.286464,,,"Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.6"
HOUSING,EVICTION,Cost of writing off rent arrears,Per incident,Local authority,RSL,2527.252138,,,"Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.6"
HOUSING,EVICTION,Administrative costs of eviction,Per incident,Local authority,RSL,1488.418496,,,"Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.6"
HOUSING,EVICTION,Cost of re-letting property post-eviction,Per incident,Local authority,RSL,3707.079847,,,"Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.6"
HOUSING,EVICTION,Cost of housing advice funded through the Legal Services Commission,Per session,Ministry of Justice,HM Treasury,231.4430905,,,"Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.6"
HOUSING,EVICTION,Average cost of administering a decision on a homelessness application,Per application,Local authority,,498.7997641,,,"Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.6"
HOUSING,EVICTION,Ongoing cost of temporary accommodation (private rented sector) whilst homelessness decision made,Per week,Local authority,DWP,216.0667565,,,"Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.6"
HOUSING,EVICTION,Average fiscal cost of a simple repossession,Per incident,Local authority,RSL,917.7915659,,,"Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.5"
HOUSING,EVICTION,Prevention of homelessness through a homelessness prevention or housing options scheme,Per scheme,Local authority,RSL,853.9451961,,,"Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.5"
HOUSING,EVICTION,Application for Local Housing Allowance,Per application,DWP,HM Treasury,63.8463698,,,"Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.5"
HOUSING,HOMELESSNESS,Homelessness application - average one-off and on-going costs associated with statutory homelessness,Per application,Local authority,RSL,3326.661893,,,"Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.7"
HOUSING,HOMELESSNESS,Cost of Court Desk advice on housing (funded by the Legal Services Commission),Per session,Ministry of Justice,HM Treasury,105.74555,,,"Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.7"
HOUSING,HOMELESSNESS,Average cost of administering a decision on a homelessness application,Per application,Local authority,,498.7997641,,,"Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.7"
HOUSING,HOMELESSNESS,"Ongoing cost of temporary accommodation (bed and breakfast, family) whilst homelessness decision made",Per week,Local authority,,445.5279493,,,"Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.7"
HOUSING,HOMELESSNESS,Administration cost associated with new letting (following acceptance of homelessness application),Per incident,Local authority,RSL,634.4732999,,,"Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.7"
HOUSING,HOMELESSNESS,"Process costs involved in concluding a local authority's statutory homelessness duty, following re-housing of the client",Per incident,Local authority,,305.930522,,,"Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.7"
HOUSING,HOMELESSNESS,Temporary accommodation - average weekly cost of housing a homeless household in hostel accommodation,Per week,Local authority,,142.9227591,,,"Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.4"
HOUSING,HOMELESSNESS,Temporary accommodation - average weekly cost of housing a homeless household in bed and breakfast accommodation,Per week,Local authority,,445.5279493,,,"Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.4"
HOUSING,HOMELESSNESS,Temporary accommodation - average weekly cost of housing a homeless household in temporary accommodation using stock belonging to the local authority,Per week,Local authority,,130.353005,,,"Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.4"
HOUSING,HOMELESSNESS,Temporary accommodation - average weekly cost of housing a homeless household in temporary accommodation using stock belonging to a Registered Provider (e.g. Housing Association),Per week,Local authority,,115.7215453,,,"Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.4"
HOUSING,HOMELESSNESS,Temporary accommodation - average weekly cost of housing a homeless household in temporary accommodation using stock belonging to a private landlord,Per week,Local authority,,216.0667565,,,"Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.4"
HOUSING,HOMELESSNESS,Homelessness advice and support - cost of a homelessness prevention or housing options scheme that leads to successful prevention of homelessness,Per scheme,Local authority,,853.9451961,,,"Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.4"
HOUSING,HOMELESSNESS,Cost of housing advice funded through the Legal Services Commission,Per session,Ministry of Justice,HM Treasury,231.4430905,,,"Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.4"
HOUSING,HOMELESSNESS,Cost of Court Desk advice on housing (funded by the Legal Services Commission),Per session,Ministry of Justice,HM Treasury,105.74555,,,"Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.4"
HOUSING,HOMELESSNESS,Cost of securing a new private tenancy through a rent deposit/guarantee scheme,Per scheme,Local authority,,391.059015,,,"Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.4"
HOUSING,HOMELESSNESS,Rough sleepers - average annual local authority expenditure per individual ,Per year,Local authority,,10508.04836,,,"Evidence review of the costs of homelessness (DCLG, 2012), pp.14-15"
HOUSING,HOMELESSNESS,Average cost per client per week of a homelessness outreach worker specialising in multiple needs,Per client per week,Local authority,VCS,73.2320595,,,"How many, how much? Single homelessness and the question of numbers and cost (Crisis/New Policy Institute, 2003)"
HOUSING,HOMELESSNESS,Support costs for accommodation based homelessness services - median cost across all intensity levels,Per week,Local Authority,,241.8097384,,,"At what cost? - An estimation of the financial costs of single homelessness in the UK, (Pleace 2015) p.7"
HOUSING,HOMELESSNESS,"Support costs for accommodation based homelessness services - mean, lower intensity",Per week,Local Authority,,133.2421007,,,"At what cost? - An estimation of the financial costs of single homelessness in the UK, (Pleace 2015) p.7"
HOUSING,HOMELESSNESS,"Support costs for accommodation based homelessness services - mean, medium intensity",Per week,Local Authority,,250.4458005,,,"At what cost? - An estimation of the financial costs of single homelessness in the UK, (Pleace 2015) p.7"
HOUSING,HOMELESSNESS,"Support costs for accommodation based homelessness services - mean, special/high intensity",Per week,Local Authority,,502.1253241,,,"At what cost? - An estimation of the financial costs of single homelessness in the UK, (Pleace 2015) p.7"
HOUSING,HOMELESSNESS,Floating support service - median support cost,Per week,Local Authority,,37.01169465,,,"At what cost? - An estimation of the financial costs of single homelessness in the UK, (Pleace 2015) p.7"
HOUSING,HOMELESSNESS,"Adults living with severe and multiple disadvantages (SMD) - involvement in homelessness, substance misuse and criminal justice - average annual fiscal cost",Per year,Multiple,,27969.73765,,,"Mapping severe and multiple disadvantage (Lankelly Chase Foundation, 2015), pg.42"
HOUSING,BENEFITS,"Housing Benefit - average weekly award, across all tenure types, England",Per week,DWP,Local authority,124.9928648,,,"Housing Benefit caseload statistics (Stat-Xplore tool): data to February 2022 (DWP, 2022)"
HOUSING,BENEFITS,"Housing Benefit - average weekly award, social rented sector, England",Per week,DWP,Local authority,117.2974895,,,"Housing Benefit caseload statistics (Stat-Xplore tool): data to February 2022 (DWP, 2022)"
HOUSING,BENEFITS,"Housing Benefit - average weekly award, social rented sector, local authority tenants, England",Per week,DWP,Local authority,107.887207,,,"Housing Benefit caseload statistics (Stat-Xplore tool): data to February 2022 (DWP, 2022)"
HOUSING,BENEFITS,"Housing Benefit - average weekly award, social rented sector, Registered Social Landlord (Registered Provider) tenants, England",Per week,DWP,Local authority,123.3756421,,,"Housing Benefit caseload statistics (Stat-Xplore tool): data to February 2022 (DWP, 2022)"
HOUSING,BENEFITS,"Housing Benefit - average weekly award, private rented sector, England",Per week,DWP,Local authority,149.5334055,,,"Housing Benefit caseload statistics (Stat-Xplore tool): data to February 2022 (DWP, 2022)"
HOUSING,BENEFITS,"Housing Benefit - average weekly award, private rented sector, Private Regulated Tenants, England",Per week,DWP,Local authority,133.2960553,,,"Housing Benefit caseload statistics (Stat-Xplore tool): data to February 2022 (DWP, 2022)"
HOUSING,BENEFITS,"Housing Benefit - average weekly award, private rented sector, Private Deregulated Tenants claiming Local Housing Allowance, England",Per week,DWP,Local authority,146.787383,,,"Housing Benefit caseload statistics (Stat-Xplore tool): data to February 2022 (DWP, 2022)"
HOUSING,BENEFITS,"Housing Benefit - average weekly award, private rented sector, Private Deregulated Tenants not claiming Local Housing Allowance",Per week,DWP,Local authority,166.6065018,,,"Housing Benefit caseload statistics (Stat-Xplore tool): data to February 2022 (DWP, 2022)"
HOUSING,BENEFITS,Housing Benefit - average cost of processing a Housing Benefit/Local Housing Allowance application,Per application,Local authority,DWP,63.8463698,,,"Research briefing: Immediate costs to government of loss of home (Shelter, 2012), p.4"
HOUSING,RENTAL,"Local authority social and affordable rental housing stock - average weekly rent, England, all stock sizes",Per week,,,,94.83215695,,"Live tables on rents, lettings and tenancies (DHLUC, 2022) - Table 702"
HOUSING,RENTAL,"Local authority social rented property (excluding affordable rent units), average weekly rent, England - all stock sizes",Per week,,,,94.63551876,,"Local authority registered provider (LARP) social housing stock in England: stock and rents profile, 2020-21 (Regulator of Social Housing, 2021), p.12"
HOUSING,RENTAL,"Local authority social rented property (excluding affordable rent units), average weekly net rent, England - bedsit",Per week,,,,80.29354833,,"Local authority registered provider (LARP) social housing stock in England: stock and rents profile, 2020-21 (Regulator of Social Housing, 2021), p.13"
HOUSING,RENTAL,"Local authority social rented property (excluding affordable rent units), average weekly net rent, England - one bedroom",Per week,,,,82.850394,,"Local authority registered provider (LARP) social housing stock in England: stock and rents profile, 2020-21 (Regulator of Social Housing, 2021), p.13"
HOUSING,RENTAL,"Local authority social rented property (excluding affordable rent units), average weekly net rent, England - two bedroom",Per week,,,,93.52898472,,"Local authority registered provider (LARP) social housing stock in England: stock and rents profile, 2020-21 (Regulator of Social Housing, 2021), p.13"
HOUSING,RENTAL,"Local authority social rented property (excluding affordable rent units), average weekly net rent, England - three bedroom",Per week,,,,103.1117844,,"Local authority registered provider (LARP) social housing stock in England: stock and rents profile, 2020-21 (Regulator of Social Housing, 2021), p.13"
